product_id,category,name,value,scope,plan,reset_window,note,source_url,accessed
cloudflare_one,quota,DEX remote captures per day,100,Zero Trust Free account,,Daily,Zero Trust Free and Pay-as-you-go plans include predefined financial and identifier DLP profiles along with payload logging and false positive reporting.,https://developers.cloudflare.com/cloudflare-one/insights/dex/,2025-11-07
cloudflare_one,quota,Digital Experience Monitoring tests,10,Zero Trust Free account,,Continuous,Zero Trust Free and Pay-as-you-go plans include predefined financial and identifier DLP profiles along with payload logging and false positive reporting.,https://developers.cloudflare.com/cloudflare-one/insights/dex/,2025-11-07
d1,quota,Database storage allotment,500 MB per database,Workers Free plan,,N/A,Free plan databases have smaller storage caps and shorter Time Travel retention compared to Workers Paid plans.,https://developers.cloudflare.com/d1/platform/limits/,2025-11-07
d1,quota,Included databases,10 databases,Workers Free plan,,N/A,Free plan databases have smaller storage caps and shorter Time Travel retention compared to Workers Paid plans.,https://developers.cloudflare.com/d1/platform/limits/,2025-11-07
dns,quota,Batch edit capacity,200 records per request,Free plan,,Per operation,"Zones created before 2024-09-01 keep a 1,000 record allowance on the Free plan unless upgraded.",https://developers.cloudflare.com/dns/manage-dns-records/how-to/batch-record-changes/,2025-11-07
dns,quota,Included DNS records for new zones,200 records per zone (Free plan),Free zones created on or after 2024-09-01,,Continuous,"Zones created before 2024-09-01 keep a 1,000 record allowance on the Free plan unless upgraded.",https://developers.cloudflare.com/dns/manage-dns-records/how-to/batch-record-changes/,2025-11-07
durable_objects,quota,Durable Object classes,100 classes,Workers Free plan,,N/A,Workers Free plan access is limited to SQLite-backed Durable Objects with capped storage.,https://developers.cloudflare.com/durable-objects/,2025-11-07
durable_objects,quota,Durable Object storage allocation,5 GB account storage,Workers Free plan,,N/A,Workers Free plan access is limited to SQLite-backed Durable Objects with capped storage.,https://developers.cloudflare.com/durable-objects/,2025-11-07
images,quota,Included unique transformations,5000,Per account,,Monthly,"Cached variants continue serving after the free quota is reached, but new transformations return error 9422 until you upgrade or the window resets.",https://developers.cloudflare.com/images/pricing/,2025-11-07
kv,quota,Included reads,100000 per day,Per account,,Daily,Exceeding free tier quotas returns errors for that operation type until the next UTC reset or a plan upgrade.,https://developers.cloudflare.com/kv/platform/pricing/,2025-11-07
kv,quota,Included writes,1000 per day,Per account,,Daily,Exceeding free tier quotas returns errors for that operation type until the next UTC reset or a plan upgrade.,https://developers.cloudflare.com/kv/platform/pricing/,2025-11-07
network,quota,IP Geolocation availability,Included,All plans,,N/A,"IP Geolocation, IPv6 compatibility, and WebSockets are available across every Cloudflare plan tier.",https://developers.cloudflare.com/network/,2025-11-07
pages,quota,Included custom domains,100,Per project,,Continuous,Exceeding build or domain limits requires upgrading to higher plans or requesting limit adjustments.,https://developers.cloudflare.com/pages/platform/limits/,2025-11-07
pages,quota,Included monthly builds,500,Per account,,Monthly,Exceeding build or domain limits requires upgrading to higher plans or requesting limit adjustments.,https://developers.cloudflare.com/pages/platform/limits/,2025-11-07
r2,quota,Class A operations,1 million requests,Standard storage,,Monthly,Free tier benefits apply only to Standard storage; Infrequent Access usage is billed separately.,https://developers.cloudflare.com/r2/pricing/index.md,2025-11-07
r2,quota,Class B operations,10 million requests,Standard storage,,Monthly,Free tier benefits apply only to Standard storage; Infrequent Access usage is billed separately.,https://developers.cloudflare.com/r2/pricing/index.md,2025-11-07
r2,quota,Egress bandwidth,Free,Standard storage,,Monthly,Free tier benefits apply only to Standard storage; Infrequent Access usage is billed separately.,https://developers.cloudflare.com/r2/pricing/index.md,2025-11-07
r2,quota,Storage allotment,10 GB-month,Standard storage,,Monthly,Free tier benefits apply only to Standard storage; Infrequent Access usage is billed separately.,https://developers.cloudflare.com/r2/pricing/index.md,2025-11-07
r2_sql,quota,R2 SQL usage,No additional charges during open beta,Accounts with an R2 subscription,,N/A,Standard R2 storage and operations charges still apply to data that queries access.,https://developers.cloudflare.com/r2-sql/platform/pricing/,2025-11-07
ssl_tls,quota,Universal SSL coverage,Included certificates for all proxied hostnames,All plans,,N/A,"Universal SSL and minimum TLS controls are available on every Cloudflare plan, while advanced options require add-ons.",https://developers.cloudflare.com/ssl/edge-certificates/advanced-certificate-manager/,2025-11-07
waf,quota,Managed ruleset access,Cloudflare Free Managed Ruleset,All plans,,N/A,"Core WAF features, including custom rules and managed rules, are available across every plan with varying limits.",https://developers.cloudflare.com/waf/custom-rules/,2025-11-07
workers,quota,Requests,"100,000 per day and 1,000 per minute",Account,,Daily,Free plan usage counts reset at midnight UTC and Workers automatically fail open or closed when the quota is exceeded.,https://developers.cloudflare.com/workers/platform/limits/,2025-11-07
workflows,quota,Workflow state retention,3 days,Account,,Per completion,Free plan executions share the Workers daily request quota; paid plans increase retention to 30 days.,https://developers.cloudflare.com/workflows/reference/limits/,2025-11-07
